machine_id,block_id,rate
M1,B1,9.249
M1,B2,16.373
M1,B3,10.959
M1,B4,10.237
M1,B5,14.325
M1,B6,7.849
M1,B7,9.576
M1,B8,9.152
M1,B9,17.888
M1,B10,11.243
M1,B11,6.462
M1,B12,14.31
M1,B13,6.048
M1,B14,8.341
M1,B15,15.775
M1,B16,16.005
M2,B1,13.938
M2,B2,9.43
M2,B3,6.513
M2,B4,8.566
M2,B5,7.275
M2,B6,7.26
M2,B7,13.864
M2,B8,13.12
M2,B9,7.382
M2,B10,9.216
M2,B11,13.561
M2,B12,15.63
M2,B13,10.035
M2,B14,7.751
M2,B15,7.569
M2,B16,14.398
M3,B1,14.694
M3,B2,16.986
M3,B3,16.26
M3,B4,11.666
M3,B5,7.387
M3,B6,11.552
M3,B7,16.328
M3,B8,17.734
M3,B9,11.016
M3,B10,9.446
M3,B11,17.518
M3,B12,13.048
M3,B13,6.59
M3,B14,15.627
M3,B15,7.594
M3,B16,15.594
M4,B1,14.797
M4,B2,16.606
M4,B3,12.399
M4,B4,7.412
M4,B5,6.259
M4,B6,6.227
M4,B7,10.596
M4,B8,13.816
M4,B9,12.333
M4,B10,8.003
M4,B11,16.523
M4,B12,6.563
M4,B13,11.551
M4,B14,15.924
M4,B15,11.607
M4,B16,9.009
M5,B1,11.319
M5,B2,13.277
M5,B3,12.225
M5,B4,12.227
M5,B5,10.747
M5,B6,12.729
M5,B7,13.577
M5,B8,14.936
M5,B9,8.715
M5,B10,12.498
M5,B11,10.216
M5,B12,8.78
M5,B13,6.884
M5,B14,6.175
M5,B15,7.162
M5,B16,16.9
M6,B1,17.482
M6,B2,13.226
M6,B3,11.826
M6,B4,11.53
M6,B5,13.903
M6,B6,9.602
M6,B7,15.534
M6,B8,7.607
M6,B9,14.125
M6,B10,11.595
M6,B11,13.954
M6,B12,7.727
M6,B13,11.316
M6,B14,8.094
M6,B15,12.998
M6,B16,12.402
